entry_date,entry_spx,entry_vix,d5_spx,d5_vix,d5_drift,d5_pct,d5_date,d5_max_drift,d7_spx,d7_vix,d7_drift,d7_pct,d7_date,d7_max_drift,d10_spx,d10_vix,d10_drift,d10_pct,d10_date,d10_max_drift,d12_spx,d12_vix,d12_drift,d12_pct,d12_date,d12_max_drift,d14_spx,d14_vix,d14_drift,d14_pct,d14_date,d14_max_drift
2021-03-26,3974.54,18.86,4077.91,17.91,103.36999999999989,2.6008041182124195,2021-04-05,103.36999999999989,4079.95,17.16,105.40999999999985,2.6521308126223375,2021-04-07,105.40999999999985,4127.99,16.91,153.44999999999982,3.860824145687295,2021-04-12,154.26000000000022,4124.66,16.99,150.1199999999999,3.7770408651063994,2021-04-14,167.05000000000018,4185.47,16.25,210.9300000000003,5.307029241119735,2021-04-16,210.9300000000003
2021-04-09,4128.8,16.69,4185.47,16.25,56.67000000000007,1.3725537686494882,2021-04-16,56.67000000000007,4134.94,18.68,6.139999999999418,0.1487114900212996,2021-04-20,56.67000000000007,4180.17,17.33,51.36999999999989,1.2441871730284801,2021-04-23,56.67000000000007,4186.72,17.56,57.92000000000007,1.4028289091261401,2021-04-27,58.81999999999971,4211.47,17.61,82.67000000000007,2.002276690563846,2021-04-29,82.67000000000007
2021-04-16,4185.47,16.25,4180.17,17.33,5.300000000000182,0.1266285506765114,2021-04-23,50.530000000000655,4186.72,17.56,1.25,0.029865224216157324,2021-04-27,50.530000000000655,4181.17,18.61,4.300000000000182,0.10273637130358552,2021-04-30,50.530000000000655,4164.66,19.48,20.8100000000004,0.4971962527505967,2021-05-04,50.530000000000655,4201.62,18.39,16.149999999999636,0.38585869687274393,2021-05-06,50.530000000000655
2021-04-23,4180.17,17.33,4181.17,18.61,1.0,0.023922472052572023,2021-04-30,31.300000000000182,4164.66,19.48,15.510000000000218,0.3710375415353973,2021-05-04,31.300000000000182,4232.6,16.69,52.43000000000029,1.2542552097163582,2021-05-07,52.43000000000029,4152.1,21.84,28.06999999999971,0.6715037905156898,2021-05-11,52.43000000000029,4112.5,23.13,67.67000000000007,1.6188336837975505,2021-05-13,117.13000000000011
2021-04-30,4181.17,18.61,4232.6,16.69,51.43000000000029,1.2300384820516814,2021-05-07,51.43000000000029,4152.1,21.84,29.06999999999971,0.6952599392036131,2021-05-11,51.43000000000029,4173.85,18.81,7.319999999999709,0.17507061420606454,2021-05-14,118.13000000000011,4127.83,21.34,53.340000000000146,1.2757194756491639,2021-05-18,118.13000000000011,4159.12,20.67,22.050000000000182,0.5273643501699329,2021-05-20,118.13000000000011
2021-05-07,4232.6,16.69,4173.85,18.81,58.75,1.3880357227236213,2021-05-14,169.5600000000004,4127.83,21.34,104.77000000000044,2.4753106837405006,2021-05-18,169.5600000000004,4155.86,20.15,76.74000000000069,1.8130699806265815,2021-05-21,169.5600000000004,4188.13,18.84,44.470000000000255,1.0506544440769328,2021-05-25,169.5600000000004,4200.88,16.74,31.720000000000255,0.7494211595709552,2021-05-27,169.5600000000004
2021-05-14,4173.85,18.81,4155.86,20.15,17.99000000000069,0.43101692681818204,2021-05-21,58.17000000000007,4188.13,18.84,14.279999999999745,0.34213016759106685,2021-05-25,58.17000000000007,4204.11,16.76,30.25999999999931,0.7249901170382095,2021-05-28,58.17000000000007,4208.12,17.48,34.26999999999953,0.8210644848281448,2021-06-02,58.17000000000007,4229.89,16.42,56.039999999999964,1.3426452795380754,2021-06-04,58.17000000000007
2021-05-28,4204.11,16.76,4226.52,16.42,22.410000000000764,0.5330498012659223,2021-06-07,25.780000000000655,4219.55,17.89,15.44000000000051,0.36725965781105896,2021-06-09,25.780000000000655,4255.15,16.39,51.039999999999964,1.2140500605359985,2021-06-14,51.039999999999964,4223.7,18.15,19.590000000000146,0.4659725839714029,2021-06-16,51.039999999999964,4166.45,20.7,37.659999999999854,0.8957900720961121,2021-06-18,51.039999999999964
2021-06-04,4229.89,16.42,4247.44,15.65,17.549999999999272,0.4149044064975513,2021-06-11,17.549999999999272,4246.59,17.02,16.699999999999818,0.39480932128258217,2021-06-15,25.25999999999931,4166.45,20.7,63.44000000000051,1.4998025953393705,2021-06-18,63.44000000000051,4246.44,16.66,16.549999999999272,0.3912631297740431,2021-06-22,63.44000000000051,4266.49,15.97,36.599999999999454,0.8652707280803864,2021-06-24,63.44000000000051
2021-06-11,4247.44,15.65,4166.45,20.7,80.98999999999978,1.9067956227751255,2021-06-18,80.98999999999978,4246.44,16.66,1.0,0.023543593317386473,2021-06-22,80.98999999999978,4280.7,15.62,33.26000000000022,0.7830599137362794,2021-06-25,80.98999999999978,4291.8,16.02,44.36000000000058,1.0443937995592778,2021-06-29,80.98999999999978,4319.94,15.48,72.5,1.7069105155105193,2021-07-01,80.98999999999978
2021-06-25,4280.7,15.62,4352.34,15.07,71.64000000000033,1.6735580629336402,2021-07-02,71.64000000000033,4358.13,16.2,77.43000000000029,1.8088163150886607,2021-07-07,77.43000000000029,4384.63,16.17,103.93000000000029,2.4278739458499845,2021-07-12,103.93000000000029,4374.3,16.33,93.60000000000036,2.186558273179629,2021-07-14,103.93000000000029,4327.16,18.45,46.460000000000036,1.0853365103838166,2021-07-16,103.93000000000029
2021-07-02,4352.34,15.07,4384.63,16.17,32.289999999999964,0.7418997596695103,2021-07-12,32.289999999999964,4374.3,16.33,21.960000000000036,0.5045561697845306,2021-07-14,32.289999999999964,4258.49,22.5,93.85000000000036,2.1563113175900863,2021-07-19,93.85000000000036,4358.69,17.91,6.349999999999454,0.14589852814806412,2021-07-21,93.85000000000036,4411.79,17.2,59.44999999999982,1.3659318895123043,2021-07-23,93.85000000000036
2021-07-09,4369.55,16.18,4327.16,18.45,42.39000000000033,0.970122781522132,2021-07-16,42.39000000000033,4323.06,19.73,46.48999999999978,1.0639539540684917,2021-07-20,111.0600000000004,4411.79,17.2,42.23999999999978,0.9666899337460328,2021-07-23,111.0600000000004,4401.46,19.36,31.909999999999854,0.7302811502328582,2021-07-27,111.0600000000004,4419.15,17.7,49.599999999999454,1.1351283312926836,2021-07-29,111.0600000000004
2021-07-16,4327.16,18.45,4411.79,17.2,84.63000000000011,1.955786243171043,2021-07-23,84.63000000000011,4401.46,19.36,74.30000000000018,1.717061536897184,2021-07-27,95.14000000000033,4395.26,18.24,68.10000000000036,1.5737804934414341,2021-07-30,95.14000000000033,4423.15,18.04,95.98999999999978,2.218314090535127,2021-08-03,95.98999999999978,4429.1,17.28,101.94000000000051,2.35581767256123,2021-08-05,101.94000000000051
2021-07-23,4411.79,17.2,4395.26,18.24,16.529999999999745,0.374677851846977,2021-07-30,16.529999999999745,4423.15,18.04,11.359999999999673,0.2574918570466789,2021-08-03,24.63000000000011,4436.52,16.15,24.730000000000473,0.5605434528842143,2021-08-06,24.730000000000473,4436.75,16.79,24.960000000000036,0.5657567563279312,2021-08-10,24.960000000000036,4460.83,15.59,49.039999999999964,1.1115669603494265,2021-08-12,49.039999999999964
2021-07-30,4395.26,18.24,4436.52,16.15,41.26000000000022,0.9387385501654103,2021-08-06,41.26000000000022,4436.75,16.79,41.48999999999978,0.9439714601638989,2021-08-10,41.48999999999978,4468.0,15.45,72.73999999999978,1.6549646664816138,2021-08-13,72.73999999999978,4448.08,17.91,52.81999999999971,1.201749157046448,2021-08-17,84.44999999999982,4405.8,21.67,10.539999999999964,0.23980378862683807,2021-08-19,84.44999999999982
2021-08-06,4436.52,16.15,4468.0,15.45,31.479999999999563,0.7095651546707681,2021-08-13,31.479999999999563,4448.08,17.91,11.55999999999949,0.2605645866579997,2021-08-17,43.1899999999996,4441.67,18.56,5.149999999999636,0.11608197415991894,2021-08-20,43.1899999999996,4486.23,17.22,49.70999999999913,1.120472803007743,2021-08-24,49.70999999999913,4470.0,18.84,33.47999999999956,0.7546455329853029,2021-08-26,59.66999999999916
2021-08-13,4468.0,15.45,4441.67,18.56,26.329999999999927,0.5893017009847791,2021-08-20,67.72999999999956,4486.23,17.22,18.229999999999563,0.4080125335720583,2021-08-24,67.72999999999956,4509.37,16.39,41.36999999999989,0.9259176365264075,2021-08-27,67.72999999999956,4522.68,16.48,54.68000000000029,1.2238137869292813,2021-08-31,67.72999999999956,4536.95,16.41,68.94999999999982,1.543196060877346,2021-09-02,68.94999999999982
2021-08-20,4441.67,18.56,4509.37,16.39,67.69999999999982,1.5242014827756187,2021-08-27,67.69999999999982,4522.68,16.48,81.01000000000022,1.823863546819107,2021-08-31,87.11999999999989,4535.43,16.41,93.76000000000022,2.1109177403994495,2021-09-03,95.27999999999975,4514.07,17.96,72.39999999999964,1.6300175384483682,2021-09-08,95.27999999999975,4458.58,20.95,16.909999999999854,0.3807126598779255,2021-09-10,95.27999999999975
